"","osm_id","name","amenity","healthcare","name.ar","website","geometry"
"3469171449","3469171449",NA,NA,NA,NA,NA,c(-8.0194454, 31.6401591)
"3469171453","3469171453",NA,NA,NA,NA,NA,c(-8.0200153, 31.6403329)
"3469171454","3469171454",NA,NA,NA,NA,NA,c(-8.0194823, 31.6403352)
"3469171455","3469171455",NA,NA,NA,NA,NA,c(-8.0194976, 31.6403661)
"3469171457","3469171457",NA,NA,NA,NA,NA,c(-8.0195329, 31.6403892)
"3469171458","3469171458",NA,NA,NA,NA,NA,c(-8.0195863, 31.6404007)
"3556568002","3556568002",NA,NA,NA,NA,NA,c(-7.985226, 31.6364217)
"3935631926","3935631926",NA,NA,NA,NA,NA,c(-8.0122992, 31.6407896)
"3935631927","3935631927",NA,NA,NA,NA,NA,c(-8.012058, 31.6408483)
"3935631928","3935631928",NA,NA,NA,NA,NA,c(-8.0120752, 31.6409111)
"3935631929","3935631929",NA,NA,NA,NA,NA,c(-8.0123509, 31.6409531)
"3935631930","3935631930",NA,NA,NA,NA,NA,c(-8.012378, 31.641039)
"3935631931","3935631931",NA,NA,NA,NA,NA,c(-8.0120395, 31.6411427)
"4250052764","4250052764",NA,NA,NA,NA,NA,c(-8.0169087, 31.6420252)
"4361734090","4361734090","الترويض الطبي","hospital","hospital","الترويض الطبي",NA,c(-8.0572744, 31.6318134)
"4874991823","4874991823",NA,NA,NA,NA,NA,c(-8.0382104, 31.595144)
"5056607447","5056607447",NA,NA,NA,NA,NA,c(-7.9959934, 31.6174156)
"5056607448","5056607448",NA,NA,NA,NA,NA,c(-7.9956675, 31.6174359)
"5056607449","5056607449",NA,NA,NA,NA,NA,c(-7.995577, 31.6174468)
"5056607450","5056607450",NA,NA,NA,NA,NA,c(-7.9953714, 31.6174717)
"5056607452","5056607452",NA,NA,NA,NA,NA,c(-7.9952109, 31.6174912)
"5056607454","5056607454",NA,NA,NA,NA,NA,c(-7.9951455, 31.6174991)
"5056607455","5056607455",NA,NA,NA,NA,NA,c(-7.9965325, 31.617546)
"5056607469","5056607469",NA,NA,NA,NA,NA,c(-7.9947794, 31.6176471)
"5056607499","5056607499",NA,NA,NA,NA,NA,c(-7.9967718, 31.6179132)
"5056607515","5056607515",NA,NA,NA,NA,NA,c(-7.994263, 31.6180145)
"5056607519","5056607519",NA,NA,NA,NA,NA,c(-7.9967922, 31.6180725)
"5056607829","5056607829",NA,NA,NA,NA,NA,c(-7.9968109, 31.6181098)
"5056607853","5056607853",NA,NA,NA,NA,NA,c(-7.9942896, 31.6182159)
"5056607889","5056607889",NA,NA,NA,NA,NA,c(-7.9943158, 31.6185605)
"5056607907","5056607907",NA,NA,NA,NA,NA,c(-7.9944028, 31.6187984)
"5056607910","5056607910",NA,NA,NA,NA,NA,c(-7.9944171, 31.6188298)
"5056607912","5056607912",NA,NA,NA,NA,NA,c(-7.9943876, 31.6188423)
"5056607918","5056607918",NA,NA,NA,NA,NA,c(-7.9945846, 31.6189113)
"5056607919","5056607919",NA,NA,NA,NA,NA,c(-7.995, 31.6189221)
"5056608024","5056608024",NA,NA,NA,NA,NA,c(-7.994466, 31.6189601)
"5056608025","5056608025",NA,NA,NA,NA,NA,c(-7.9948655, 31.6189605)
"5056608031","5056608031",NA,NA,NA,NA,NA,c(-7.9948006, 31.618979)
"5066644792","5066644792","Croissant Rouge Maroccaine","hospital","hospital",NA,NA,c(-7.9848854, 31.6205269)
"5091777392","5091777392",NA,NA,NA,NA,NA,c(-7.9947409, 31.6175861)
"5091777413","5091777413",NA,NA,NA,NA,NA,c(-7.9945644, 31.6176763)
"5091777415","5091777415",NA,NA,NA,NA,NA,c(-7.9946889, 31.6176827)
"5091777722","5091777722",NA,NA,NA,NA,NA,c(-7.9944964, 31.6176969)
"5091777735","5091777735",NA,NA,NA,NA,NA,c(-7.994589, 31.617722)
"5091777743","5091777743",NA,NA,NA,NA,NA,c(-7.9943734, 31.6177341)
"5091777786","5091777786",NA,NA,NA,NA,NA,c(-7.9941131, 31.6178041)
"5091777857","5091777857",NA,NA,NA,NA,NA,c(-7.9941169, 31.6178908)
"5091777909","5091777909",NA,NA,NA,NA,NA,c(-7.9941383, 31.6179603)
"5091777917","5091777917",NA,NA,NA,NA,NA,c(-7.9942612, 31.6180007)
"5091777958","5091777958",NA,NA,NA,NA,NA,c(-7.9942725, 31.6180867)
"5091778017","5091778017",NA,NA,NA,NA,NA,c(-7.9942871, 31.6181971)
"5091778045","5091778045",NA,NA,NA,NA,NA,c(-7.9942928, 31.6182398)
"5091778178","5091778178",NA,NA,NA,NA,NA,c(-7.9942742, 31.6184303)
"5091778232","5091778232",NA,NA,NA,NA,NA,c(-7.9943009, 31.6185166)
"5091778243","5091778243",NA,NA,NA,NA,NA,c(-7.9943063, 31.6185341)
"5091778275","5091778275",NA,NA,NA,NA,NA,c(-7.9943365, 31.618618)
"5091778330","5091778330",NA,NA,NA,NA,NA,c(-7.9943787, 31.618733)
"5091778402","5091778402",NA,NA,NA,NA,NA,c(-7.9944233, 31.6189129)
"5091778417","5091778417",NA,NA,NA,NA,NA,c(-7.9944422, 31.6189503)
"5633365790","5633365790",NA,NA,NA,NA,NA,c(-7.9957672, 31.6645847)
"5633365791","5633365791",NA,NA,NA,NA,NA,c(-7.9956948, 31.6645864)
"5633365792","5633365792",NA,NA,NA,NA,NA,c(-7.995763, 31.6644549)
"5633365793","5633365793",NA,NA,NA,NA,NA,c(-7.9956945, 31.6645783)
"5633365794","5633365794",NA,NA,NA,NA,NA,c(-7.9954625, 31.6645837)
"5633365795","5633365795",NA,NA,NA,NA,NA,c(-7.9954667, 31.6647139)
"5633365796","5633365796",NA,NA,NA,NA,NA,c(-7.9953862, 31.6647158)
"5633365797","5633365797",NA,NA,NA,NA,NA,c(-7.9953778, 31.6644575)
"5633365798","5633365798",NA,NA,NA,NA,NA,c(-7.9953719, 31.6650559)
"5633365799","5633365799",NA,NA,NA,NA,NA,c(-7.9953644, 31.6648232)
"5633365800","5633365800",NA,NA,NA,NA,NA,c(-7.9954744, 31.6648206)
"5633365801","5633365801",NA,NA,NA,NA,NA,c(-7.99548, 31.6649942)
"5633365802","5633365802",NA,NA,NA,NA,NA,c(-7.9956974, 31.6649891)
"5633365803","5633365803",NA,NA,NA,NA,NA,c(-7.9956946, 31.6649017)
"5633365804","5633365804",NA,NA,NA,NA,NA,c(-7.9957896, 31.6648995)
"5633365805","5633365805",NA,NA,NA,NA,NA,c(-7.995794, 31.6650344)
"5633365806","5633365806",NA,NA,NA,NA,NA,c(-7.9961178, 31.6650269)
"5633365807","5633365807",NA,NA,NA,NA,NA,c(-7.9961185, 31.6650477)
"5633365808","5633365808",NA,NA,NA,NA,NA,c(-7.9951872, 31.664462)
"5633365809","5633365809",NA,NA,NA,NA,NA,c(-7.9952065, 31.6650598)
"5633365810","5633365810",NA,NA,NA,NA,NA,c(-7.9964847, 31.6650391)
"5633365811","5633365811",NA,NA,NA,NA,NA,c(-7.9964653, 31.6644385)
"5642874859","5642874859",NA,NA,NA,NA,NA,c(-8.0381344, 31.5949827)
"5642875016","5642875016",NA,NA,NA,NA,NA,c(-8.0383791, 31.5948991)
"5642875181","5642875181",NA,NA,NA,NA,NA,c(-8.0384551, 31.5950604)
"5664405119","5664405119",NA,NA,NA,NA,NA,c(-8.0511675, 31.6532998)
"5664405120","5664405120",NA,NA,NA,NA,NA,c(-8.0504755, 31.6536057)
"5664405121","5664405121",NA,NA,NA,NA,NA,c(-8.0507576, 31.6540664)
"5664405122","5664405122",NA,NA,NA,NA,NA,c(-8.0515087, 31.653733)
"5664405125","5664405125",NA,NA,NA,NA,NA,c(-8.0484723, 31.6497375)
"5664405126","5664405126",NA,NA,NA,NA,NA,c(-8.0482708, 31.6494576)
"5664405127","5664405127",NA,NA,NA,NA,NA,c(-8.0480153, 31.6495908)
"5664405128","5664405128",NA,NA,NA,NA,NA,c(-8.0482168, 31.6498708)
"7379152251","7379152251",NA,NA,NA,NA,NA,c(-8.0544841, 31.6499706)
"7379152252","7379152252",NA,NA,NA,NA,NA,c(-8.0546875, 31.649539)
"7379152253","7379152253",NA,NA,NA,NA,NA,c(-8.0542648, 31.6493946)
"7379548830","7379548830",NA,NA,NA,NA,NA,c(-8.0204806, 31.6340829)
"7379548831","7379548831",NA,NA,NA,NA,NA,c(-8.0204629, 31.6351115)
"7379548832","7379548832",NA,NA,NA,NA,NA,c(-8.0207319, 31.6356333)
"7379548833","7379548833",NA,NA,NA,NA,NA,c(-8.0210802, 31.6358135)
"7379548834","7379548834",NA,NA,NA,NA,NA,c(-8.0229542, 31.6351302)
"7379548835","7379548835",NA,NA,NA,NA,NA,c(-8.0227103, 31.6345744)
"7379548836","7379548836",NA,NA,NA,NA,NA,c(-8.0223988, 31.6346109)
"7379548837","7379548837",NA,NA,NA,NA,NA,c(-8.0221496, 31.634286)
"7379548838","7379548838",NA,NA,NA,NA,NA,c(-8.0216629, 31.6338152)
"7379548839","7379548839",NA,NA,NA,NA,NA,c(-8.0215383, 31.6337058)
"7379569824","7379569824",NA,NA,NA,NA,NA,c(-7.9849471, 31.637103)
"7379569825","7379569825",NA,NA,NA,NA,NA,c(-7.9842655, 31.6369008)
"7379569826","7379569826",NA,NA,NA,NA,NA,c(-7.9845443, 31.6362195)
